avg_max,avg_min,work_day,power
24.333333333333332,19.133333333333333,1,30692
24.333333333333332,19.533333333333335,1,30669
24.066666666666666,19.266666666666666,0,27551
23.8,18.533333333333335,0,26128
23.666666666666668,18.8,1,30760
26.6,20.2,1,31332
26.2,21.066666666666666,1,31884
26.466666666666665,20.8,1,32765
25.533333333333335,20.4,1,32135
25.0,19.8,0,28413
23.2,19.8,1,26541
24.266666666666666,19.666666666666668,1,31328
24.133333333333333,20.066666666666666,1,31767
23.533333333333335,19.866666666666667,1,31511
23.333333333333332,18.866666666666667,1,30223
25.733333333333334,19.4,1,28400
26.133333333333333,19.666666666666668,0,27290
26.2,21.066666666666666,0,27208
25.133333333333333,21.066666666666666,0,31766
26.6,22.133333333333333,0,33042
26.066666666666666,21.133333333333333,0,32676
27.0,21.4,1,33076
28.0,22.4,1,34186
28.8,22.4,1,30339
28.8,22.8,0,29217
29.466666666666665,22.8,1,35087
30.466666666666665,22.666666666666668,1,35993
30.466666666666665,23.4,1,36660
30.466666666666665,24.066666666666666,1,36705
30.8,23.666666666666668,1,37053
30.666666666666668,24.066666666666666,0,33957
32.13333333333333,24.066666666666666,0,32436
31.133333333333333,24.066666666666666,1,37442
30.466666666666665,23.4,1,37288
31.2,23.8,1,37574
31.866666666666667,24.066666666666666,1,37447
30.733333333333334,24.466666666666665,1,37679
30.8,24.066666666666666,0,33873
31.066666666666666,24.4,0,32114
31.066666666666666,23.8,1,37893
29.4,24.066666666666666,1,37293
30.333333333333332,24.066666666666666,1,37123
31.333333333333332,24.466666666666665,1,38022
31.333333333333332,23.866666666666667,1,38401
29.133333333333333,23.8,0,31488
27.2,23.8,0,28566
26.933333333333334,23.466666666666665,1,33639
28.266666666666666,24.066666666666666,1,34090
29.6,24.066666666666666,1,35690
30.266666666666666,24.733333333333334,1,36584
30.666666666666668,23.866666666666667,1,36467
26.266666666666666,22.8,0,30054
26.533333333333335,22.733333333333334,0,27283
27.8,23.066666666666666,1,32859
28.533333333333335,23.066666666666666,1,34861
28.8,23.733333333333334,1,35330
29.266666666666666,24.066666666666666,1,35791
29.933333333333334,24.066666666666666,1,36117
29.933333333333334,23.733333333333334,0,33190
29.666666666666668,24.066666666666666,0,31286
30.2,24.333333333333332,0,32097
30.2,24.333333333333332,1,37217
29.466666666666665,24.333333333333332,1,36796
29.466666666666665,24.333333333333332,1,37900
30.466666666666665,25.0,1,38084
30.133333333333333,24.6,0,33832
29.066666666666666,24.6,0,31767
28.4,24.0,1,35982
27.0,23.0,1,35511
25.733333333333334,23.333333333333332,1,33813
28.2,23.333333333333332,1,33816
27.533333333333335,23.733333333333334,1,33637
28.466666666666665,23.733333333333334,0,30728
28.8,24.0,0,30256
29.066666666666666,24.0,1,34834
28.4,24.733333333333334,1,35256
29.8,24.066666666666666,1,36142
30.2,24.333333333333332,1,36840
29.8,24.333333333333332,1,37525
30.2,24.333333333333332,0,33769
30.266666666666666,24.066666666666666,0,31675
30.8,24.733333333333334,1,37396
30.866666666666667,24.4,1,37452
31.266666666666666,24.333333333333332,1,37733
30.533333333333335,24.066666666666666,1,37990
30.533333333333335,24.066666666666666,1,38163
30.533333333333335,24.066666666666666,0,34556
30.533333333333335,24.333333333333332,0,32170
30.533333333333335,24.066666666666666,1,38212
30.533333333333335,24.066666666666666,1,38599
30.533333333333335,24.466666666666665,1,37999
29.8,23.733333333333334,1,37798
29.8,24.066666666666666,1,37533
29.8,24.066666666666666,0,33916
30.133333333333333,24.066666666666666,0,31661
30.2,23.733333333333334,1,38564
29.466666666666665,24.066666666666666,1,37996
30.933333333333334,24.466666666666665,1,37330
28.866666666666667,25.933333333333334,1,36495
28.733333333333334,24.733333333333334,1,35766
28.466666666666665,25.0,0,30981
30.466666666666665,25.0,0,31984
30.066666666666666,24.733333333333334,1,38132
31.6,25.133333333333333,1,38844
30.2,24.733333333333334,1,38637
30.2,24.733333333333334,1,38131
29.466666666666665,24.733333333333334,1,37051
28.733333333333334,24.133333333333333,0,31425
27.066666666666666,23.733333333333334,0,30055
28.133333333333333,24.466666666666665,1,34688
29.2,24.133333333333333,1,35442
29.6,25.133333333333333,1,35981
30.2,24.733333333333334,1,35343
29.933333333333334,25.133333333333333,1,33956
27.6,24.4,0,29690
29.466666666666665,24.4,0,30174
30.2,24.733333333333334,1,35161
29.933333333333334,24.4,1,36302
30.2,24.4,1,36468
30.2,24.4,1,36722
29.866666666666667,23.733333333333334,1,36389
29.466666666666665,23.733333333333334,0,32580
30.2,24.066666666666666,0,31054
30.2,24.466666666666665,1,36997
30.533333333333335,24.066666666666666,1,37703
28.866666666666667,23.466666666666665,1,36773
29.933333333333334,24.066666666666666,1,37536
30.2,24.066666666666666,1,37253
30.2,24.066666666666666,0,33588
30.2,23.733333333333334,0,31548
30.933333333333334,24.066666666666666,1,37507
30.2,24.066666666666666,1,37902
30.933333333333334,24.066666666666666,1,38485
30.933333333333334,23.333333333333332,1,37972
30.133333333333333,24.066666666666666,1,37792
30.533333333333335,24.066666666666666,0,34306
30.533333333333335,24.466666666666665,0,32332
29.8,24.333333333333332,1,37244
30.533333333333335,24.333333333333332,1,37350
30.533333333333335,23.733333333333334,1,37736
29.8,23.733333333333334,1,37800
29.933333333333334,23.733333333333334,1,37858
29.933333333333334,23.733333333333334,0,33066
30.6,24.333333333333332,0,31540
30.6,24.733333333333334,1,37758
30.933333333333334,23.733333333333334,1,38275
30.533333333333335,24.066666666666666,1,38490
31.2,24.733333333333334,1,38173
31.6,24.733333333333334,1,38737
30.533333333333335,25.133333333333333,0,36726
28.266666666666666,24.733333333333334,0,29916
29.466666666666665,24.733333333333334,1,36672
29.4,24.066666666666666,1,38061
29.533333333333335,23.733333333333334,1,38318
29.533333333333335,24.066666666666666,1,37513
29.533333333333335,24.066666666666666,1,37460
30.133333333333333,24.466666666666665,1,33683
30.533333333333335,24.466666666666665,0,31289
30.533333333333335,24.466666666666665,0,31219
30.2,24.066666666666666,0,31460
29.533333333333335,24.066666666666666,1,37909
30.6,24.066666666666666,1,38061
29.933333333333334,24.066666666666666,1,37738
30.666666666666668,24.066666666666666,0,33643
30.666666666666668,24.066666666666666,1,31383
30.266666666666666,23.8,1,37178
29.933333333333334,24.2,1,36962
29.933333333333334,23.8,1,37162
30.933333333333334,23.8,1,37233
29.933333333333334,23.466666666666665,0,37290
29.933333333333334,23.733333333333334,0,33558
31.0,23.733333333333334,0,30993
31.333333333333332,23.733333333333334,0,37505
30.666666666666668,23.466666666666665,0,37691
31.066666666666666,24.466666666666665,0,37589
30.133333333333333,24.466666666666665,0,37703
29.733333333333334,24.066666666666666,1,37600
30.733333333333334,24.066666666666666,1,33404
31.133333333333333,24.866666666666667,0,30914
28.466666666666665,24.866666666666667,1,30820
29.466666666666665,25.266666666666666,1,36044
29.4,24.533333333333335,1,35349
26.6,23.733333333333334,1,34850
28.733333333333334,22.8,1,36341
28.733333333333334,21.933333333333334,0,32385
25.2,20.8,0,27308
25.4,21.466666666666665,1,32083
27.066666666666666,21.8,1,32770
26.4,21.8,1,33294
25.733333333333334,20.933333333333334,1,32810
23.0,20.533333333333335,1,31238
24.466666666666665,21.533333333333335,0,28517
24.333333333333332,20.466666666666665,0,26935
25.8,21.066666666666666,1,31686
27.666666666666668,20.4,1,32321
25.733333333333334,20.8,1,32306
25.4,20.4,1,31825
25.0,20.066666666666666,1,31257
24.6,20.066666666666666,0,28135
25.4,20.333333333333332,0,27201
25.4,20.666666666666668,1,31648
25.4,20.4,1,31827
25.4,20.8,1,32115
25.4,21.066666666666666,1,32450
26.666666666666668,21.4,1,33302
27.4,21.4,0,29876
27.066666666666666,20.266666666666666,0,28277
23.133333333333333,16.6,1,31207
21.4,16.866666666666667,1,30241
20.866666666666667,15.133333333333333,1,30125
22.933333333333334,17.733333333333334,1,30232
22.666666666666668,17.8,1,29946
20.933333333333334,17.066666666666666,0,27293
22.666666666666668,17.733333333333334,0,26067
24.0,19.266666666666666,1,30689
25.266666666666666,19.666666666666668,1,31197
24.266666666666666,19.8,1,31451
23.266666666666666,19.066666666666666,1,31280
24.6,19.266666666666666,1,31340
24.733333333333334,19.0,0,28278
24.533333333333335,18.533333333333335,0,27262
22.733333333333334,15.866666666666667,1,30330
19.466666666666665,15.533333333333333,1,30206
21.8,17.0,1,30463
23.0,18.0,1,30778
23.066666666666666,18.2,1,30174
22.6,18.866666666666667,0,27690
22.2,19.666666666666668,0,26721
23.933333333333334,18.8,1,31077
22.533333333333335,13.533333333333333,1,30445
18.933333333333334,13.8,1,29832
19.666666666666668,13.133333333333333,1,30150
19.666666666666668,13.0,1,29675
20.733333333333334,14.6,0,27104
21.6,14.666666666666666,0,26188
21.933333333333334,15.666666666666666,1,30187
